 Year , Month , Day ,Period,Flex Down
2025,1,9,21,66.009
2025,1,9,22,69.756
2025,1,9,23,78.564
2025,1,9,24,62.763
2025,1,10,1,76.29
2025,1,10,2,66.807
2025,1,10,3,61.365
2025,1,10,4,68.376
2025,1,10,5,73.107
2025,1,10,6,55.527
2025,1,10,7,51.621
2025,1,10,8,57.972
2025,1,10,9,52.515
2025,1,10,10,67.452
2025,1,10,11,71.154
2025,1,10,12,53.67
2025,1,10,13,70.374
2025,1,10,14,66.186
2025,1,10,15,66.351
2025,1,10,16,69.096
2025,1,10,17,55.374
2025,1,10,18,77.688
2025,1,10,19,78.021
2025,1,10,20,59.322
2025,1,10,21,66.009
2025,1,10,22,69.756
2025,1,10,23,78.564
2025,1,10,24,62.763
2025,1,11,1,76.29
2025,1,11,2,66.807
2025,1,11,3,61.365
2025,1,11,4,68.376
2025,1,11,5,73.107
2025,1,11,6,55.527
2025,1,11,7,51.621
2025,1,11,8,57.972
2025,1,11,9,52.515
2025,1,11,10,67.452
2025,1,11,11,71.154
2025,1,11,12,53.67
2025,1,11,13,70.374
2025,1,11,14,66.186
2025,1,11,15,66.351
2025,1,11,16,69.096
2025,1,11,17,55.374
2025,1,11,18,77.688
2025,1,11,19,78.021
2025,1,11,20,59.322
2025,1,11,21,66.009
2025,1,11,22,69.756
2025,1,11,23,78.564
2025,1,11,24,62.763
2025,1,12,1,76.29
2025,1,12,2,66.807
2025,1,12,3,61.365
2025,1,12,4,68.376
2025,1,12,5,73.107
2025,1,12,6,55.527
2025,1,12,7,51.621
2025,1,12,8,57.972
2025,1,12,9,52.515
2025,1,12,10,67.452
2025,1,12,11,71.154
2025,1,12,12,53.67
2025,1,12,13,70.374
2025,1,12,14,66.186
2025,1,12,15,66.351
2025,1,12,16,69.096
2025,1,12,17,55.374
2025,1,12,18,77.688
2025,1,12,19,78.021
2025,1,12,20,59.322
2025,1,12,21,66.009
2025,1,12,22,69.756
2025,1,12,23,78.564
2025,1,12,24,62.763
2025,1,13,1,76.29
2025,1,13,2,66.807
2025,1,13,3,61.365
2025,1,13,4,68.376
2025,1,13,5,73.107
2025,1,13,6,55.527
2025,1,13,7,51.621
2025,1,13,8,57.972
2025,1,13,9,52.515
2025,1,13,10,67.452
2025,1,13,11,71.154
2025,1,13,12,53.67
2025,1,13,13,70.374
2025,1,13,14,66.186
2025,1,13,15,66.351
2025,1,13,16,69.096
2025,1,13,17,55.374
2025,1,13,18,77.688
2025,1,13,19,78.021
2025,1,13,20,59.322
2025,1,13,21,66.009
2025,1,13,22,69.756
2025,1,13,23,78.564
2025,1,13,24,62.763
2025,1,14,1,76.29
2025,1,14,2,66.807
2025,1,14,3,61.365
2025,1,14,4,68.376
2025,1,14,5,73.107
2025,1,14,6,55.527
2025,1,14,7,51.621
2025,1,14,8,57.972
2025,1,14,9,52.515
2025,1,14,10,67.452
2025,1,14,11,71.154
2025,1,14,12,53.67
2025,1,14,13,70.374
2025,1,14,14,66.186
2025,1,14,15,66.351
2025,1,14,16,69.096
2025,1,14,17,55.374
2025,1,14,18,77.688
2025,1,14,19,78.021
2025,1,14,20,59.322
2025,1,14,21,66.009
2025,1,14,22,69.756
2025,1,14,23,78.564
2025,1,14,24,62.763
2025,1,15,1,76.29
2025,1,15,2,66.807
2025,1,15,3,61.365
2025,1,15,4,68.376
2025,1,15,5,73.107
2025,1,15,6,55.527
2025,1,15,7,51.621
2025,1,15,8,57.972
2025,1,15,9,52.515
2025,1,15,10,67.452
2025,1,15,11,71.154
2025,1,15,12,53.67
2025,1,15,13,70.374
2025,1,15,14,66.186
2025,1,15,15,66.351
2025,1,15,16,69.096
2025,1,15,17,55.374
2025,1,15,18,77.688
2025,1,15,19,78.021
2025,1,15,20,59.322
2025,1,15,21,66.009
2025,1,15,22,69.756
2025,1,15,23,78.564
2025,1,15,24,62.763
2025,1,16,1,76.29
2025,1,16,2,66.807
2025,1,16,3,61.365
2025,1,16,4,68.376
2025,1,16,5,73.107
2025,1,16,6,55.527
2025,1,16,7,51.621
2025,1,16,8,57.972
2025,1,16,9,52.515
2025,1,16,10,67.452
2025,1,16,11,71.154
2025,1,16,12,53.67
2025,1,16,13,70.374
2025,1,16,14,66.186
2025,1,16,15,66.351
2025,1,16,16,69.096
2025,1,16,17,55.374
2025,1,16,18,77.688
2025,1,16,19,78.021
2025,1,16,20,59.322
2025,1,16,21,66.009
2025,1,16,22,69.756
2025,1,16,23,78.564
2025,1,16,24,62.763
2025,1,17,1,76.29
2025,1,17,2,66.807
2025,1,17,3,61.365
2025,1,17,4,68.376
2025,1,17,5,73.107
2025,1,17,6,55.527
2025,1,17,7,51.621
2025,1,17,8,57.972
2025,1,17,9,52.515
2025,1,17,10,67.452
2025,1,17,11,71.154
2025,1,17,12,53.67
2025,1,17,13,70.374
2025,1,17,14,66.186
2025,1,17,15,66.351
2025,1,17,16,69.096
2025,1,17,17,55.374
2025,1,17,18,77.688
2025,1,17,19,78.021
2025,1,17,20,59.322
2025,1,17,21,66.009
2025,1,17,22,69.756
2025,1,17,23,78.564
2025,1,17,24,62.763
2025,1,18,1,76.29
2025,1,18,2,66.807
2025,1,18,3,61.365
2025,1,18,4,68.376
2025,1,18,5,73.107
2025,1,18,6,55.527
2025,1,18,7,51.621
2025,1,18,8,57.972
2025,1,18,9,52.515
2025,1,18,10,67.452
2025,1,18,11,71.154
2025,1,18,12,53.67
2025,1,18,13,70.374
2025,1,18,14,66.186
2025,1,18,15,66.351
2025,1,18,16,69.096
2025,1,18,17,55.374
2025,1,18,18,77.688
2025,1,18,19,78.021
2025,1,18,20,59.322
2025,1,18,21,66.009
2025,1,18,22,69.756
2025,1,18,23,78.564
2025,1,18,24,62.763
2025,1,19,1,76.29
2025,1,19,2,66.807
2025,1,19,3,61.365
2025,1,19,4,68.376
2025,1,19,5,73.107
2025,1,19,6,55.527
2025,1,19,7,51.621
2025,1,19,8,57.972
2025,1,19,9,52.515
2025,1,19,10,67.452
2025,1,19,11,71.154
2025,1,19,12,53.67
2025,1,19,13,70.374
2025,1,19,14,66.186
2025,1,19,15,66.351
2025,1,19,16,69.096
2025,1,19,17,55.374
2025,1,19,18,77.688
2025,1,19,19,78.021
2025,1,19,20,59.322
2025,1,19,21,66.009
2025,1,19,22,69.756
2025,1,19,23,78.564
2025,1,19,24,62.763
2025,1,20,1,76.29
2025,1,20,2,66.807
2025,1,20,3,61.365
2025,1,20,4,68.376
2025,1,20,5,73.107
2025,1,20,6,55.527
2025,1,20,7,51.621
2025,1,20,8,57.972
2025,1,20,9,52.515
2025,1,20,10,67.452
2025,1,20,11,71.154
2025,1,20,12,53.67
2025,1,20,13,70.374
2025,1,20,14,66.186
2025,1,20,15,66.351
2025,1,20,16,69.096
2025,1,20,17,55.374
2025,1,20,18,77.688
2025,1,20,19,78.021
2025,1,20,20,59.322
2025,1,20,21,66.009
2025,1,20,22,69.756
2025,1,20,23,78.564
2025,1,20,24,62.763
2025,1,21,1,76.29
2025,1,21,2,66.807
2025,1,21,3,61.365
2025,1,21,4,68.376
2025,1,21,5,73.107
2025,1,21,6,55.527
2025,1,21,7,51.621
2025,1,21,8,57.972
2025,1,21,9,52.515
2025,1,21,10,67.452
2025,1,21,11,71.154
2025,1,21,12,53.67
2025,1,21,13,70.374
2025,1,21,14,66.186
2025,1,21,15,66.351
2025,1,21,16,69.096
2025,1,21,17,55.374
2025,1,21,18,77.688
2025,1,21,19,78.021
2025,1,21,20,59.322
2025,1,21,21,66.009
2025,1,21,22,69.756
2025,1,21,23,78.564
2025,1,21,24,62.763
2025,1,22,1,76.29
2025,1,22,2,66.807
2025,1,22,3,61.365
2025,1,22,4,68.376
2025,1,22,5,73.107
2025,1,22,6,55.527
2025,1,22,7,51.621
2025,1,22,8,57.972
2025,1,22,9,52.515
2025,1,22,10,67.452
2025,1,22,11,71.154
2025,1,22,12,53.67
2025,1,22,13,70.374
2025,1,22,14,66.186
2025,1,22,15,66.351
2025,1,22,16,69.096
2025,1,22,17,55.374
2025,1,22,18,77.688
2025,1,22,19,78.021
2025,1,22,20,59.322
2025,1,22,21,66.009
2025,1,22,22,69.756
2025,1,22,23,78.564
2025,1,22,24,62.763
2025,1,23,1,76.29
2025,1,23,2,66.807
2025,1,23,3,61.365
2025,1,23,4,68.376
2025,1,23,5,73.107
2025,1,23,6,55.527
2025,1,23,7,51.621
2025,1,23,8,57.972
2025,1,23,9,52.515
2025,1,23,10,67.452
2025,1,23,11,71.154
2025,1,23,12,53.67
2025,1,23,13,70.374
2025,1,23,14,66.186
2025,1,23,15,66.351
2025,1,23,16,69.096
2025,1,23,17,55.374
2025,1,23,18,77.688
2025,1,23,19,78.021
2025,1,23,20,59.322
2025,1,23,21,66.009
2025,1,23,22,69.756
2025,1,23,23,78.564
2025,1,23,24,62.763
2025,1,24,1,76.29
2025,1,24,2,66.807
2025,1,24,3,61.365
2025,1,24,4,68.376
2025,1,24,5,73.107
2025,1,24,6,55.527
2025,1,24,7,51.621
2025,1,24,8,57.972
2025,1,24,9,52.515
2025,1,24,10,67.452
2025,1,24,11,71.154
2025,1,24,12,53.67
2025,1,24,13,70.374
2025,1,24,14,66.186
2025,1,24,15,66.351
2025,1,24,16,69.096
2025,1,24,17,55.374
2025,1,24,18,77.688
2025,1,24,19,78.021
2025,1,24,20,59.322
2025,1,24,21,66.009
2025,1,24,22,69.756
2025,1,24,23,78.564
2025,1,24,24,62.763
2025,1,25,1,76.29
2025,1,25,2,66.807
2025,1,25,3,61.365
2025,1,25,4,68.376
2025,1,25,5,73.107
2025,1,25,6,55.527
2025,1,25,7,51.621
2025,1,25,8,57.972
2025,1,25,9,52.515
2025,1,25,10,67.452
2025,1,25,11,71.154
2025,1,25,12,53.67
2025,1,25,13,70.374
2025,1,25,14,66.186
2025,1,25,15,66.351
2025,1,25,16,69.096
2025,1,25,17,55.374
2025,1,25,18,77.688
2025,1,25,19,78.021
2025,1,25,20,59.322
2025,1,25,21,66.009
2025,1,25,22,69.756
2025,1,25,23,78.564
2025,1,25,24,62.763
2025,1,26,1,76.29
2025,1,26,2,66.807
2025,1,26,3,61.365
2025,1,26,4,68.376
2025,1,26,5,73.107
2025,1,26,6,55.527
2025,1,26,7,51.621
2025,1,26,8,57.972
2025,1,26,9,52.515
2025,1,26,10,67.452
2025,1,26,11,71.154
2025,1,26,12,53.67
2025,1,26,13,70.374
2025,1,26,14,66.186
2025,1,26,15,66.351
2025,1,26,16,69.096
2025,1,26,17,55.374
2025,1,26,18,77.688
2025,1,26,19,78.021
2025,1,26,20,59.322
2025,1,26,21,66.009
2025,1,26,22,69.756
2025,1,26,23,78.564
2025,1,26,24,62.763
2025,1,27,1,76.29
2025,1,27,2,66.807
2025,1,27,3,61.365
2025,1,27,4,68.376
2025,1,27,5,73.107
2025,1,27,6,55.527
2025,1,27,7,51.621
2025,1,27,8,57.972
2025,1,27,9,52.515
2025,1,27,10,67.452
2025,1,27,11,71.154
2025,1,27,12,53.67
2025,1,27,13,70.374
2025,1,27,14,66.186
2025,1,27,15,66.351
2025,1,27,16,69.096
2025,1,27,17,55.374
2025,1,27,18,77.688
2025,1,27,19,78.021
2025,1,27,20,59.322
2025,1,27,21,66.009
2025,1,27,22,69.756
2025,1,27,23,78.564
2025,1,27,24,62.763
2025,1,28,1,76.29
2025,1,28,2,66.807
2025,1,28,3,61.365
2025,1,28,4,68.376
2025,1,28,5,73.107
2025,1,28,6,55.527
2025,1,28,7,51.621
2025,1,28,8,57.972
2025,1,28,9,52.515
2025,1,28,10,67.452
2025,1,28,11,71.154
2025,1,28,12,53.67
2025,1,28,13,70.374
2025,1,28,14,66.186
2025,1,28,15,66.351
2025,1,28,16,69.096
2025,1,28,17,55.374
2025,1,28,18,77.688
2025,1,28,19,78.021
2025,1,28,20,59.322
2025,1,28,21,66.009
2025,1,28,22,69.756
2025,1,28,23,78.564
2025,1,28,24,62.763
2025,1,29,1,76.29
2025,1,29,2,66.807
2025,1,29,3,61.365
2025,1,29,4,68.376
2025,1,29,5,73.107
2025,1,29,6,55.527
2025,1,29,7,51.621
2025,1,29,8,57.972
2025,1,29,9,52.515
2025,1,29,10,67.452
2025,1,29,11,71.154
2025,1,29,12,53.67
2025,1,29,13,70.374
2025,1,29,14,66.186
2025,1,29,15,66.351
2025,1,29,16,69.096
2025,1,29,17,55.374
2025,1,29,18,77.688
2025,1,29,19,78.021
2025,1,29,20,59.322
2025,1,29,21,66.009
2025,1,29,22,69.756
2025,1,29,23,78.564
2025,1,29,24,62.763
2025,1,30,1,76.29
2025,1,30,2,66.807
2025,1,30,3,61.365
2025,1,30,4,68.376
2025,1,30,5,73.107
2025,1,30,6,55.527
2025,1,30,7,51.621
2025,1,30,8,57.972
2025,1,30,9,52.515
2025,1,30,10,67.452
2025,1,30,11,71.154
2025,1,30,12,53.67
2025,1,30,13,70.374
2025,1,30,14,66.186
2025,1,30,15,66.351
2025,1,30,16,69.096
2025,1,30,17,55.374
2025,1,30,18,77.688
2025,1,30,19,78.021
2025,1,30,20,59.322
2025,1,30,21,66.009
2025,1,30,22,69.756
2025,1,30,23,78.564
2025,1,30,24,62.763
2025,1,31,1,76.29
2025,1,31,2,66.807
2025,1,31,3,61.365
2025,1,31,4,68.376
2025,1,31,5,73.107
2025,1,31,6,55.527
2025,1,31,7,51.621
2025,1,31,8,57.972
2025,1,31,9,52.515
2025,1,31,10,67.452
2025,1,31,11,71.154
2025,1,31,12,53.67
2025,1,31,13,70.374
2025,1,31,14,66.186
2025,1,31,15,66.351
2025,1,31,16,69.096
2025,1,31,17,55.374
2025,1,31,18,77.688
2025,1,31,19,78.021
2025,1,31,20,59.322
2025,1,31,21,66.009
2025,1,31,22,69.756
2025,1,31,23,78.564
2025,1,31,24,62.763
2025,2,1,1,60.705
2025,2,1,2,55.551
2025,2,1,3,59.28
2025,2,1,4,68.988
2025,2,1,5,76.167
2025,2,1,6,65.088
2025,2,1,7,55.167
2025,2,1,8,59.751
2025,2,1,9,57.426
2025,2,1,10,64.875
2025,2,1,11,63.984
2025,2,1,12,51.501
2025,2,1,13,77.721
2025,2,1,14,63.726
2025,2,1,15,68.355
2025,2,1,16,71.913
2025,2,1,17,77.721
2025,2,1,18,76.35
2025,2,1,19,79.2
2025,2,1,20,60.996
2025,2,1,21,62.934
2025,2,1,22,65.625
2025,2,1,23,75.621
2025,2,1,24,56.688
2025,2,2,1,60.705
2025,2,2,2,55.551
2025,2,2,3,59.28
2025,2,2,4,68.988
2025,2,2,5,76.167
2025,2,2,6,65.088
2025,2,2,7,55.167
2025,2,2,8,59.751
2025,2,2,9,57.426
2025,2,2,10,64.875
2025,2,2,11,63.984
2025,2,2,12,51.501
2025,2,2,13,77.721
2025,2,2,14,63.726
2025,2,2,15,68.355
2025,2,2,16,71.913
2025,2,2,17,77.721
2025,2,2,18,76.35
2025,2,2,19,79.2
2025,2,2,20,60.996
2025,2,2,21,62.934
2025,2,2,22,65.625
2025,2,2,23,75.621
2025,2,2,24,56.688
2025,2,3,1,60.705
2025,2,3,2,55.551
2025,2,3,3,59.28
2025,2,3,4,68.988
2025,2,3,5,76.167
2025,2,3,6,65.088
2025,2,3,7,55.167
2025,2,3,8,59.751
2025,2,3,9,57.426
2025,2,3,10,64.875
2025,2,3,11,63.984
2025,2,3,12,51.501
2025,2,3,13,77.721
2025,2,3,14,63.726
2025,2,3,15,68.355
2025,2,3,16,71.913
2025,2,3,17,77.721
2025,2,3,18,76.35
2025,2,3,19,79.2
2025,2,3,20,60.996
2025,2,3,21,62.934
2025,2,3,22,65.625
2025,2,3,23,75.621
2025,2,3,24,56.688
2025,2,4,1,60.705
2025,2,4,2,55.551
2025,2,4,3,59.28
2025,2,4,4,68.988
2025,2,4,5,76.167
2025,2,4,6,65.088
2025,2,4,7,55.167
2025,2,4,8,59.751
2025,2,4,9,57.426
2025,2,4,10,64.875
2025,2,4,11,63.984
2025,2,4,12,51.501
2025,2,4,13,77.721
2025,2,4,14,63.726
2025,2,4,15,68.355
2025,2,4,16,71.913
2025,2,4,17,77.721
2025,2,4,18,76.35
2025,2,4,19,79.2
2025,2,4,20,60.996
2025,2,4,21,62.934
2025,2,4,22,65.625
2025,2,4,23,75.621
2025,2,4,24,56.688
2025,2,5,1,60.705
2025,2,5,2,55.551
2025,2,5,3,59.28
2025,2,5,4,68.988
2025,2,5,5,76.167
2025,2,5,6,65.088
2025,2,5,7,55.167
2025,2,5,8,59.751
2025,2,5,9,57.426
2025,2,5,10,64.875
2025,2,5,11,63.984
2025,2,5,12,51.501
2025,2,5,13,77.721
2025,2,5,14,63.726
2025,2,5,15,68.355
2025,2,5,16,71.913
2025,2,5,17,77.721
2025,2,5,18,76.35
2025,2,5,19,79.2
2025,2,5,20,60.996
2025,2,5,21,62.934
2025,2,5,22,65.625
2025,2,5,23,75.621
2025,2,5,24,56.688
2025,2,6,1,60.705
2025,2,6,2,55.551
2025,2,6,3,59.28
2025,2,6,4,68.988
2025,2,6,5,76.167
2025,2,6,6,65.088
2025,2,6,7,55.167
2025,2,6,8,59.751
2025,2,6,9,57.426
2025,2,6,10,64.875
2025,2,6,11,63.984
2025,2,6,12,51.501
2025,2,6,13,77.721
2025,2,6,14,63.726
2025,2,6,15,68.355
2025,2,6,16,71.913
2025,2,6,17,77.721
2025,2,6,18,76.35
2025,2,6,19,79.2
2025,2,6,20,60.996
2025,2,6,21,62.934
2025,2,6,22,65.625
2025,2,6,23,75.621
2025,2,6,24,56.688
2025,2,7,1,60.705
2025,2,7,2,55.551
2025,2,7,3,59.28
2025,2,7,4,68.988
2025,2,7,5,76.167
2025,2,7,6,65.088
2025,2,7,7,55.167
2025,2,7,8,59.751
2025,2,7,9,57.426
2025,2,7,10,64.875
2025,2,7,11,63.984
2025,2,7,12,51.501
2025,2,7,13,77.721
2025,2,7,14,63.726
2025,2,7,15,68.355
2025,2,7,16,71.913
2025,2,7,17,77.721
2025,2,7,18,76.35
2025,2,7,19,79.2
2025,2,7,20,60.996
2025,2,7,21,62.934
2025,2,7,22,65.625
2025,2,7,23,75.621
2025,2,7,24,56.688
2025,2,8,1,60.705
2025,2,8,2,55.551
2025,2,8,3,59.28
2025,2,8,4,68.988
2025,2,8,5,76.167
2025,2,8,6,65.088
2025,2,8,7,55.167
2025,2,8,8,59.751
2025,2,8,9,57.426
2025,2,8,10,64.875
2025,2,8,11,63.984
2025,2,8,12,51.501
2025,2,8,13,77.721
2025,2,8,14,63.726
2025,2,8,15,68.355
2025,2,8,16,71.913
2025,2,8,17,77.721
2025,2,8,18,76.35
2025,2,8,19,79.2
2025,2,8,20,60.996
2025,2,8,21,62.934
2025,2,8,22,65.625
2025,2,8,23,75.621
2025,2,8,24,56.688
2025,2,9,1,60.705
2025,2,9,2,55.551
2025,2,9,3,59.28
2025,2,9,4,68.988
2025,2,9,5,76.167
2025,2,9,6,65.088
2025,2,9,7,55.167
2025,2,9,8,59.751
2025,2,9,9,57.426
2025,2,9,10,64.875
2025,2,9,11,63.984
2025,2,9,12,51.501
2025,2,9,13,77.721
2025,2,9,14,63.726
2025,2,9,15,68.355
2025,2,9,16,71.913
2025,2,9,17,77.721
2025,2,9,18,76.35
2025,2,9,19,79.2
2025,2,9,20,60.996
2025,2,9,21,62.934
2025,2,9,22,65.625
2025,2,9,23,75.621
2025,2,9,24,56.688
2025,2,10,1,60.705
2025,2,10,2,55.551
2025,2,10,3,59.28
2025,2,10,4,68.988
2025,2,10,5,76.167
2025,2,10,6,65.088
2025,2,10,7,55.167
2025,2,10,8,59.751
2025,2,10,9,57.426
2025,2,10,10,64.875
2025,2,10,11,63.984
2025,2,10,12,51.501
2025,2,10,13,77.721
2025,2,10,14,63.726
2025,2,10,15,68.355
2025,2,10,16,71.913
2025,2,10,17,77.721
2025,2,10,18,76.35
2025,2,10,19,79.2
2025,2,10,20,60.996
2025,2,10,21,62.934
2025,2,10,22,65.625
2025,2,10,23,75.621
2025,2,10,24,56.688
2025,2,11,1,60.705
2025,2,11,2,55.551
2025,2,11,3,59.28
2025,2,11,4,68.988
2025,2,11,5,76.167
2025,2,11,6,65.088
2025,2,11,7,55.167
2025,2,11,8,59.751
2025,2,11,9,57.426
2025,2,11,10,64.875
2025,2,11,11,63.984
2025,2,11,12,51.501
2025,2,11,13,77.721
2025,2,11,14,63.726
2025,2,11,15,68.355
2025,2,11,16,71.913
2025,2,11,17,77.721
2025,2,11,18,76.35
2025,2,11,19,79.2
2025,2,11,20,60.996
2025,2,11,21,62.934
2025,2,11,22,65.625
2025,2,11,23,75.621
2025,2,11,24,56.688
2025,2,12,1,60.705
2025,2,12,2,55.551
2025,2,12,3,59.28
2025,2,12,4,68.988
2025,2,12,5,76.167
2025,2,12,6,65.088
2025,2,12,7,55.167
2025,2,12,8,59.751
2025,2,12,9,57.426
2025,2,12,10,64.875
2025,2,12,11,63.984
2025,2,12,12,51.501
2025,2,12,13,77.721
2025,2,12,14,63.726
2025,2,12,15,68.355
2025,2,12,16,71.913
2025,2,12,17,77.721
2025,2,12,18,76.35
2025,2,12,19,79.2
2025,2,12,20,60.996
2025,2,12,21,62.934
2025,2,12,22,65.625
2025,2,12,23,75.621
2025,2,12,24,56.688
2025,2,13,1,60.705
2025,2,13,2,55.551
2025,2,13,3,59.28
2025,2,13,4,68.988
2025,2,13,5,76.167
2025,2,13,6,65.088
2025,2,13,7,55.167
2025,2,13,8,59.751
2025,2,13,9,57.426
2025,2,13,10,64.875
2025,2,13,11,63.984
2025,2,13,12,51.501
2025,2,13,13,77.721
2025,2,13,14,63.726
2025,2,13,15,68.355
2025,2,13,16,71.913
2025,2,13,17,77.721
2025,2,13,18,76.35
2025,2,13,19,79.2
2025,2,13,20,60.996
2025,2,13,21,62.934
2025,2,13,22,65.625
2025,2,13,23,75.621
2025,2,13,24,56.688
2025,2,14,1,60.705
2025,2,14,2,55.551
2025,2,14,3,59.28
2025,2,14,4,68.988
2025,2,14,5,76.167
2025,2,14,6,65.088
2025,2,14,7,55.167
2025,2,14,8,59.751
2025,2,14,9,57.426
2025,2,14,10,64.875
2025,2,14,11,63.984
2025,2,14,12,51.501
2025,2,14,13,77.721
2025,2,14,14,63.726
2025,2,14,15,68.355
2025,2,14,16,71.913
2025,2,14,17,77.721
