 Year , Month , Day ,Period,Flex Down
2025,1,6,20,197.74
2025,1,6,21,220.03
2025,1,6,22,232.52
2025,1,6,23,261.88
2025,1,6,24,209.21
2025,1,7,1,254.3
2025,1,7,2,222.69
2025,1,7,3,204.55
2025,1,7,4,227.92
2025,1,7,5,243.69
2025,1,7,6,185.09
2025,1,7,7,172.07
2025,1,7,8,193.24
2025,1,7,9,175.05
2025,1,7,10,224.84
2025,1,7,11,237.18
2025,1,7,12,178.9
2025,1,7,13,234.58
2025,1,7,14,220.62
2025,1,7,15,221.17
2025,1,7,16,230.32
2025,1,7,17,184.58
2025,1,7,18,258.96
2025,1,7,19,260.07
2025,1,7,20,197.74
2025,1,7,21,220.03
2025,1,7,22,232.52
2025,1,7,23,261.88
2025,1,7,24,209.21
2025,1,8,1,254.3
2025,1,8,2,222.69
2025,1,8,3,204.55
2025,1,8,4,227.92
2025,1,8,5,243.69
2025,1,8,6,185.09
2025,1,8,7,172.07
2025,1,8,8,193.24
2025,1,8,9,175.05
2025,1,8,10,224.84
2025,1,8,11,237.18
2025,1,8,12,178.9
2025,1,8,13,234.58
2025,1,8,14,220.62
2025,1,8,15,221.17
2025,1,8,16,230.32
2025,1,8,17,184.58
2025,1,8,18,258.96
2025,1,8,19,260.07
2025,1,8,20,197.74
2025,1,8,21,220.03
2025,1,8,22,232.52
2025,1,8,23,261.88
2025,1,8,24,209.21
2025,1,9,1,254.3
2025,1,9,2,222.69
2025,1,9,3,204.55
2025,1,9,4,227.92
2025,1,9,5,243.69
2025,1,9,6,185.09
2025,1,9,7,172.07
2025,1,9,8,193.24
2025,1,9,9,175.05
2025,1,9,10,224.84
2025,1,9,11,237.18
2025,1,9,12,178.9
2025,1,9,13,234.58
2025,1,9,14,220.62
2025,1,9,15,221.17
2025,1,9,16,230.32
2025,1,9,17,184.58
2025,1,9,18,258.96
2025,1,9,19,260.07
2025,1,9,20,197.74
2025,1,9,21,220.03
2025,1,9,22,232.52
2025,1,9,23,261.88
2025,1,9,24,209.21
2025,1,10,1,254.3
2025,1,10,2,222.69
2025,1,10,3,204.55
2025,1,10,4,227.92
2025,1,10,5,243.69
2025,1,10,6,185.09
2025,1,10,7,172.07
2025,1,10,8,193.24
2025,1,10,9,175.05
2025,1,10,10,224.84
2025,1,10,11,237.18
2025,1,10,12,178.9
2025,1,10,13,234.58
2025,1,10,14,220.62
2025,1,10,15,221.17
2025,1,10,16,230.32
2025,1,10,17,184.58
2025,1,10,18,258.96
2025,1,10,19,260.07
2025,1,10,20,197.74
2025,1,10,21,220.03
2025,1,10,22,232.52
2025,1,10,23,261.88
2025,1,10,24,209.21
2025,1,11,1,254.3
2025,1,11,2,222.69
2025,1,11,3,204.55
2025,1,11,4,227.92
2025,1,11,5,243.69
2025,1,11,6,185.09
2025,1,11,7,172.07
2025,1,11,8,193.24
2025,1,11,9,175.05
2025,1,11,10,224.84
2025,1,11,11,237.18
2025,1,11,12,178.9
2025,1,11,13,234.58
2025,1,11,14,220.62
2025,1,11,15,221.17
2025,1,11,16,230.32
2025,1,11,17,184.58
2025,1,11,18,258.96
2025,1,11,19,260.07
2025,1,11,20,197.74
2025,1,11,21,220.03
2025,1,11,22,232.52
2025,1,11,23,261.88
2025,1,11,24,209.21
2025,1,12,1,254.3
2025,1,12,2,222.69
2025,1,12,3,204.55
2025,1,12,4,227.92
2025,1,12,5,243.69
2025,1,12,6,185.09
2025,1,12,7,172.07
2025,1,12,8,193.24
2025,1,12,9,175.05
2025,1,12,10,224.84
2025,1,12,11,237.18
2025,1,12,12,178.9
2025,1,12,13,234.58
2025,1,12,14,220.62
2025,1,12,15,221.17
2025,1,12,16,230.32
2025,1,12,17,184.58
2025,1,12,18,258.96
2025,1,12,19,260.07
2025,1,12,20,197.74
2025,1,12,21,220.03
2025,1,12,22,232.52
2025,1,12,23,261.88
2025,1,12,24,209.21
2025,1,13,1,254.3
2025,1,13,2,222.69
2025,1,13,3,204.55
2025,1,13,4,227.92
2025,1,13,5,243.69
2025,1,13,6,185.09
2025,1,13,7,172.07
2025,1,13,8,193.24
2025,1,13,9,175.05
2025,1,13,10,224.84
2025,1,13,11,237.18
2025,1,13,12,178.9
2025,1,13,13,234.58
2025,1,13,14,220.62
2025,1,13,15,221.17
2025,1,13,16,230.32
2025,1,13,17,184.58
2025,1,13,18,258.96
2025,1,13,19,260.07
2025,1,13,20,197.74
2025,1,13,21,220.03
2025,1,13,22,232.52
2025,1,13,23,261.88
2025,1,13,24,209.21
2025,1,14,1,254.3
2025,1,14,2,222.69
2025,1,14,3,204.55
2025,1,14,4,227.92
2025,1,14,5,243.69
2025,1,14,6,185.09
2025,1,14,7,172.07
2025,1,14,8,193.24
2025,1,14,9,175.05
2025,1,14,10,224.84
2025,1,14,11,237.18
2025,1,14,12,178.9
2025,1,14,13,234.58
2025,1,14,14,220.62
2025,1,14,15,221.17
2025,1,14,16,230.32
2025,1,14,17,184.58
2025,1,14,18,258.96
2025,1,14,19,260.07
2025,1,14,20,197.74
2025,1,14,21,220.03
2025,1,14,22,232.52
2025,1,14,23,261.88
2025,1,14,24,209.21
2025,1,15,1,254.3
2025,1,15,2,222.69
2025,1,15,3,204.55
2025,1,15,4,227.92
2025,1,15,5,243.69
2025,1,15,6,185.09
2025,1,15,7,172.07
2025,1,15,8,193.24
2025,1,15,9,175.05
2025,1,15,10,224.84
2025,1,15,11,237.18
2025,1,15,12,178.9
2025,1,15,13,234.58
2025,1,15,14,220.62
2025,1,15,15,221.17
2025,1,15,16,230.32
2025,1,15,17,184.58
2025,1,15,18,258.96
2025,1,15,19,260.07
2025,1,15,20,197.74
2025,1,15,21,220.03
2025,1,15,22,232.52
2025,1,15,23,261.88
2025,1,15,24,209.21
2025,1,16,1,254.3
2025,1,16,2,222.69
2025,1,16,3,204.55
2025,1,16,4,227.92
2025,1,16,5,243.69
2025,1,16,6,185.09
2025,1,16,7,172.07
2025,1,16,8,193.24
2025,1,16,9,175.05
2025,1,16,10,224.84
2025,1,16,11,237.18
2025,1,16,12,178.9
2025,1,16,13,234.58
2025,1,16,14,220.62
2025,1,16,15,221.17
2025,1,16,16,230.32
2025,1,16,17,184.58
2025,1,16,18,258.96
2025,1,16,19,260.07
2025,1,16,20,197.74
2025,1,16,21,220.03
2025,1,16,22,232.52
2025,1,16,23,261.88
2025,1,16,24,209.21
2025,1,17,1,254.3
2025,1,17,2,222.69
2025,1,17,3,204.55
2025,1,17,4,227.92
2025,1,17,5,243.69
2025,1,17,6,185.09
2025,1,17,7,172.07
2025,1,17,8,193.24
2025,1,17,9,175.05
2025,1,17,10,224.84
2025,1,17,11,237.18
2025,1,17,12,178.9
2025,1,17,13,234.58
2025,1,17,14,220.62
2025,1,17,15,221.17
2025,1,17,16,230.32
2025,1,17,17,184.58
2025,1,17,18,258.96
2025,1,17,19,260.07
2025,1,17,20,197.74
2025,1,17,21,220.03
2025,1,17,22,232.52
2025,1,17,23,261.88
2025,1,17,24,209.21
2025,1,18,1,254.3
2025,1,18,2,222.69
2025,1,18,3,204.55
2025,1,18,4,227.92
2025,1,18,5,243.69
2025,1,18,6,185.09
2025,1,18,7,172.07
2025,1,18,8,193.24
2025,1,18,9,175.05
2025,1,18,10,224.84
2025,1,18,11,237.18
2025,1,18,12,178.9
2025,1,18,13,234.58
2025,1,18,14,220.62
2025,1,18,15,221.17
2025,1,18,16,230.32
2025,1,18,17,184.58
2025,1,18,18,258.96
2025,1,18,19,260.07
2025,1,18,20,197.74
2025,1,18,21,220.03
2025,1,18,22,232.52
2025,1,18,23,261.88
2025,1,18,24,209.21
2025,1,19,1,254.3
2025,1,19,2,222.69
2025,1,19,3,204.55
2025,1,19,4,227.92
2025,1,19,5,243.69
2025,1,19,6,185.09
2025,1,19,7,172.07
2025,1,19,8,193.24
2025,1,19,9,175.05
2025,1,19,10,224.84
2025,1,19,11,237.18
2025,1,19,12,178.9
2025,1,19,13,234.58
2025,1,19,14,220.62
2025,1,19,15,221.17
2025,1,19,16,230.32
2025,1,19,17,184.58
2025,1,19,18,258.96
2025,1,19,19,260.07
2025,1,19,20,197.74
2025,1,19,21,220.03
2025,1,19,22,232.52
2025,1,19,23,261.88
2025,1,19,24,209.21
2025,1,20,1,254.3
2025,1,20,2,222.69
2025,1,20,3,204.55
2025,1,20,4,227.92
2025,1,20,5,243.69
2025,1,20,6,185.09
2025,1,20,7,172.07
2025,1,20,8,193.24
2025,1,20,9,175.05
2025,1,20,10,224.84
2025,1,20,11,237.18
2025,1,20,12,178.9
2025,1,20,13,234.58
2025,1,20,14,220.62
2025,1,20,15,221.17
2025,1,20,16,230.32
2025,1,20,17,184.58
2025,1,20,18,258.96
2025,1,20,19,260.07
2025,1,20,20,197.74
2025,1,20,21,220.03
2025,1,20,22,232.52
2025,1,20,23,261.88
2025,1,20,24,209.21
2025,1,21,1,254.3
2025,1,21,2,222.69
2025,1,21,3,204.55
2025,1,21,4,227.92
2025,1,21,5,243.69
2025,1,21,6,185.09
2025,1,21,7,172.07
2025,1,21,8,193.24
2025,1,21,9,175.05
2025,1,21,10,224.84
2025,1,21,11,237.18
2025,1,21,12,178.9
2025,1,21,13,234.58
2025,1,21,14,220.62
2025,1,21,15,221.17
2025,1,21,16,230.32
2025,1,21,17,184.58
2025,1,21,18,258.96
2025,1,21,19,260.07
2025,1,21,20,197.74
2025,1,21,21,220.03
2025,1,21,22,232.52
2025,1,21,23,261.88
2025,1,21,24,209.21
2025,1,22,1,254.3
2025,1,22,2,222.69
2025,1,22,3,204.55
2025,1,22,4,227.92
2025,1,22,5,243.69
2025,1,22,6,185.09
2025,1,22,7,172.07
2025,1,22,8,193.24
2025,1,22,9,175.05
2025,1,22,10,224.84
2025,1,22,11,237.18
2025,1,22,12,178.9
2025,1,22,13,234.58
2025,1,22,14,220.62
2025,1,22,15,221.17
2025,1,22,16,230.32
2025,1,22,17,184.58
2025,1,22,18,258.96
2025,1,22,19,260.07
2025,1,22,20,197.74
2025,1,22,21,220.03
2025,1,22,22,232.52
2025,1,22,23,261.88
2025,1,22,24,209.21
2025,1,23,1,254.3
2025,1,23,2,222.69
2025,1,23,3,204.55
2025,1,23,4,227.92
2025,1,23,5,243.69
2025,1,23,6,185.09
2025,1,23,7,172.07
2025,1,23,8,193.24
2025,1,23,9,175.05
2025,1,23,10,224.84
2025,1,23,11,237.18
2025,1,23,12,178.9
2025,1,23,13,234.58
2025,1,23,14,220.62
2025,1,23,15,221.17
2025,1,23,16,230.32
2025,1,23,17,184.58
2025,1,23,18,258.96
2025,1,23,19,260.07
2025,1,23,20,197.74
2025,1,23,21,220.03
2025,1,23,22,232.52
2025,1,23,23,261.88
2025,1,23,24,209.21
2025,1,24,1,254.3
2025,1,24,2,222.69
2025,1,24,3,204.55
2025,1,24,4,227.92
2025,1,24,5,243.69
2025,1,24,6,185.09
2025,1,24,7,172.07
2025,1,24,8,193.24
2025,1,24,9,175.05
2025,1,24,10,224.84
2025,1,24,11,237.18
2025,1,24,12,178.9
2025,1,24,13,234.58
2025,1,24,14,220.62
2025,1,24,15,221.17
2025,1,24,16,230.32
2025,1,24,17,184.58
2025,1,24,18,258.96
2025,1,24,19,260.07
2025,1,24,20,197.74
2025,1,24,21,220.03
2025,1,24,22,232.52
2025,1,24,23,261.88
2025,1,24,24,209.21
2025,1,25,1,254.3
2025,1,25,2,222.69
2025,1,25,3,204.55
2025,1,25,4,227.92
2025,1,25,5,243.69
2025,1,25,6,185.09
2025,1,25,7,172.07
2025,1,25,8,193.24
2025,1,25,9,175.05
2025,1,25,10,224.84
2025,1,25,11,237.18
2025,1,25,12,178.9
2025,1,25,13,234.58
2025,1,25,14,220.62
2025,1,25,15,221.17
2025,1,25,16,230.32
2025,1,25,17,184.58
2025,1,25,18,258.96
2025,1,25,19,260.07
2025,1,25,20,197.74
2025,1,25,21,220.03
2025,1,25,22,232.52
2025,1,25,23,261.88
2025,1,25,24,209.21
2025,1,26,1,254.3
2025,1,26,2,222.69
2025,1,26,3,204.55
2025,1,26,4,227.92
2025,1,26,5,243.69
2025,1,26,6,185.09
2025,1,26,7,172.07
2025,1,26,8,193.24
2025,1,26,9,175.05
2025,1,26,10,224.84
2025,1,26,11,237.18
2025,1,26,12,178.9
2025,1,26,13,234.58
2025,1,26,14,220.62
2025,1,26,15,221.17
2025,1,26,16,230.32
2025,1,26,17,184.58
2025,1,26,18,258.96
2025,1,26,19,260.07
2025,1,26,20,197.74
2025,1,26,21,220.03
2025,1,26,22,232.52
2025,1,26,23,261.88
2025,1,26,24,209.21
2025,1,27,1,254.3
2025,1,27,2,222.69
2025,1,27,3,204.55
2025,1,27,4,227.92
2025,1,27,5,243.69
2025,1,27,6,185.09
2025,1,27,7,172.07
2025,1,27,8,193.24
2025,1,27,9,175.05
2025,1,27,10,224.84
2025,1,27,11,237.18
2025,1,27,12,178.9
2025,1,27,13,234.58
2025,1,27,14,220.62
2025,1,27,15,221.17
2025,1,27,16,230.32
2025,1,27,17,184.58
2025,1,27,18,258.96
2025,1,27,19,260.07
2025,1,27,20,197.74
2025,1,27,21,220.03
2025,1,27,22,232.52
2025,1,27,23,261.88
2025,1,27,24,209.21
2025,1,28,1,254.3
2025,1,28,2,222.69
2025,1,28,3,204.55
2025,1,28,4,227.92
2025,1,28,5,243.69
2025,1,28,6,185.09
2025,1,28,7,172.07
2025,1,28,8,193.24
2025,1,28,9,175.05
2025,1,28,10,224.84
2025,1,28,11,237.18
2025,1,28,12,178.9
2025,1,28,13,234.58
2025,1,28,14,220.62
2025,1,28,15,221.17
2025,1,28,16,230.32
2025,1,28,17,184.58
2025,1,28,18,258.96
2025,1,28,19,260.07
2025,1,28,20,197.74
2025,1,28,21,220.03
2025,1,28,22,232.52
2025,1,28,23,261.88
2025,1,28,24,209.21
2025,1,29,1,254.3
2025,1,29,2,222.69
2025,1,29,3,204.55
2025,1,29,4,227.92
2025,1,29,5,243.69
2025,1,29,6,185.09
2025,1,29,7,172.07
2025,1,29,8,193.24
2025,1,29,9,175.05
2025,1,29,10,224.84
2025,1,29,11,237.18
2025,1,29,12,178.9
2025,1,29,13,234.58
2025,1,29,14,220.62
2025,1,29,15,221.17
2025,1,29,16,230.32
2025,1,29,17,184.58
2025,1,29,18,258.96
2025,1,29,19,260.07
2025,1,29,20,197.74
2025,1,29,21,220.03
2025,1,29,22,232.52
2025,1,29,23,261.88
2025,1,29,24,209.21
2025,1,30,1,254.3
2025,1,30,2,222.69
2025,1,30,3,204.55
2025,1,30,4,227.92
2025,1,30,5,243.69
2025,1,30,6,185.09
2025,1,30,7,172.07
2025,1,30,8,193.24
2025,1,30,9,175.05
2025,1,30,10,224.84
2025,1,30,11,237.18
2025,1,30,12,178.9
2025,1,30,13,234.58
2025,1,30,14,220.62
2025,1,30,15,221.17
2025,1,30,16,230.32
2025,1,30,17,184.58
2025,1,30,18,258.96
2025,1,30,19,260.07
2025,1,30,20,197.74
2025,1,30,21,220.03
2025,1,30,22,232.52
2025,1,30,23,261.88
2025,1,30,24,209.21
2025,1,31,1,254.3
2025,1,31,2,222.69
2025,1,31,3,204.55
2025,1,31,4,227.92
2025,1,31,5,243.69
2025,1,31,6,185.09
2025,1,31,7,172.07
2025,1,31,8,193.24
2025,1,31,9,175.05
2025,1,31,10,224.84
2025,1,31,11,237.18
2025,1,31,12,178.9
2025,1,31,13,234.58
2025,1,31,14,220.62
2025,1,31,15,221.17
2025,1,31,16,230.32
2025,1,31,17,184.58
2025,1,31,18,258.96
2025,1,31,19,260.07
2025,1,31,20,197.74
2025,1,31,21,220.03
2025,1,31,22,232.52
2025,1,31,23,261.88
2025,1,31,24,209.21
2025,2,1,1,202.35
2025,2,1,2,185.17
2025,2,1,3,197.6
2025,2,1,4,229.96
2025,2,1,5,253.89
2025,2,1,6,216.96
2025,2,1,7,183.89
2025,2,1,8,199.17
2025,2,1,9,191.42
2025,2,1,10,216.25
2025,2,1,11,213.28
2025,2,1,12,171.67
2025,2,1,13,259.07
2025,2,1,14,212.42
2025,2,1,15,227.85
2025,2,1,16,239.71
2025,2,1,17,259.07
2025,2,1,18,254.5
2025,2,1,19,264
2025,2,1,20,203.32
2025,2,1,21,209.78
2025,2,1,22,218.75
2025,2,1,23,252.07
2025,2,1,24,188.96
2025,2,2,1,202.35
2025,2,2,2,185.17
2025,2,2,3,197.6
2025,2,2,4,229.96
2025,2,2,5,253.89
2025,2,2,6,216.96
2025,2,2,7,183.89
2025,2,2,8,199.17
2025,2,2,9,191.42
2025,2,2,10,216.25
2025,2,2,11,213.28
2025,2,2,12,171.67
2025,2,2,13,259.07
2025,2,2,14,212.42
2025,2,2,15,227.85
2025,2,2,16,239.71
2025,2,2,17,259.07
2025,2,2,18,254.5
2025,2,2,19,264
2025,2,2,20,203.32
2025,2,2,21,209.78
2025,2,2,22,218.75
2025,2,2,23,252.07
2025,2,2,24,188.96
2025,2,3,1,202.35
2025,2,3,2,185.17
2025,2,3,3,197.6
2025,2,3,4,229.96
2025,2,3,5,253.89
2025,2,3,6,216.96
2025,2,3,7,183.89
2025,2,3,8,199.17
2025,2,3,9,191.42
2025,2,3,10,216.25
2025,2,3,11,213.28
2025,2,3,12,171.67
2025,2,3,13,259.07
2025,2,3,14,212.42
2025,2,3,15,227.85
2025,2,3,16,239.71
2025,2,3,17,259.07
2025,2,3,18,254.5
2025,2,3,19,264
2025,2,3,20,203.32
2025,2,3,21,209.78
2025,2,3,22,218.75
2025,2,3,23,252.07
2025,2,3,24,188.96
2025,2,4,1,202.35
2025,2,4,2,185.17
2025,2,4,3,197.6
2025,2,4,4,229.96
2025,2,4,5,253.89
2025,2,4,6,216.96
2025,2,4,7,183.89
2025,2,4,8,199.17
2025,2,4,9,191.42
2025,2,4,10,216.25
2025,2,4,11,213.28
2025,2,4,12,171.67
2025,2,4,13,259.07
2025,2,4,14,212.42
2025,2,4,15,227.85
2025,2,4,16,239.71
2025,2,4,17,259.07
2025,2,4,18,254.5
2025,2,4,19,264
2025,2,4,20,203.32
2025,2,4,21,209.78
2025,2,4,22,218.75
2025,2,4,23,252.07
2025,2,4,24,188.96
2025,2,5,1,202.35
2025,2,5,2,185.17
2025,2,5,3,197.6
2025,2,5,4,229.96
2025,2,5,5,253.89
2025,2,5,6,216.96
2025,2,5,7,183.89
2025,2,5,8,199.17
2025,2,5,9,191.42
2025,2,5,10,216.25
2025,2,5,11,213.28
2025,2,5,12,171.67
2025,2,5,13,259.07
2025,2,5,14,212.42
2025,2,5,15,227.85
2025,2,5,16,239.71
2025,2,5,17,259.07
2025,2,5,18,254.5
2025,2,5,19,264
2025,2,5,20,203.32
2025,2,5,21,209.78
2025,2,5,22,218.75
2025,2,5,23,252.07
2025,2,5,24,188.96
2025,2,6,1,202.35
2025,2,6,2,185.17
2025,2,6,3,197.6
2025,2,6,4,229.96
2025,2,6,5,253.89
2025,2,6,6,216.96
2025,2,6,7,183.89
2025,2,6,8,199.17
2025,2,6,9,191.42
2025,2,6,10,216.25
2025,2,6,11,213.28
2025,2,6,12,171.67
2025,2,6,13,259.07
2025,2,6,14,212.42
2025,2,6,15,227.85
2025,2,6,16,239.71
2025,2,6,17,259.07
2025,2,6,18,254.5
2025,2,6,19,264
2025,2,6,20,203.32
2025,2,6,21,209.78
2025,2,6,22,218.75
2025,2,6,23,252.07
2025,2,6,24,188.96
2025,2,7,1,202.35
2025,2,7,2,185.17
2025,2,7,3,197.6
2025,2,7,4,229.96
2025,2,7,5,253.89
2025,2,7,6,216.96
2025,2,7,7,183.89
2025,2,7,8,199.17
2025,2,7,9,191.42
2025,2,7,10,216.25
2025,2,7,11,213.28
2025,2,7,12,171.67
2025,2,7,13,259.07
2025,2,7,14,212.42
2025,2,7,15,227.85
2025,2,7,16,239.71
2025,2,7,17,259.07
2025,2,7,18,254.5
2025,2,7,19,264
2025,2,7,20,203.32
2025,2,7,21,209.78
2025,2,7,22,218.75
2025,2,7,23,252.07
2025,2,7,24,188.96
2025,2,8,1,202.35
2025,2,8,2,185.17
2025,2,8,3,197.6
2025,2,8,4,229.96
2025,2,8,5,253.89
2025,2,8,6,216.96
2025,2,8,7,183.89
2025,2,8,8,199.17
2025,2,8,9,191.42
2025,2,8,10,216.25
2025,2,8,11,213.28
2025,2,8,12,171.67
2025,2,8,13,259.07
2025,2,8,14,212.42
2025,2,8,15,227.85
2025,2,8,16,239.71
2025,2,8,17,259.07
2025,2,8,18,254.5
2025,2,8,19,264
2025,2,8,20,203.32
2025,2,8,21,209.78
2025,2,8,22,218.75
2025,2,8,23,252.07
2025,2,8,24,188.96
2025,2,9,1,202.35
2025,2,9,2,185.17
2025,2,9,3,197.6
2025,2,9,4,229.96
2025,2,9,5,253.89
2025,2,9,6,216.96
2025,2,9,7,183.89
2025,2,9,8,199.17
2025,2,9,9,191.42
2025,2,9,10,216.25
2025,2,9,11,213.28
2025,2,9,12,171.67
2025,2,9,13,259.07
2025,2,9,14,212.42
2025,2,9,15,227.85
2025,2,9,16,239.71
2025,2,9,17,259.07
2025,2,9,18,254.5
2025,2,9,19,264
2025,2,9,20,203.32
2025,2,9,21,209.78
2025,2,9,22,218.75
2025,2,9,23,252.07
2025,2,9,24,188.96
2025,2,10,1,202.35
2025,2,10,2,185.17
2025,2,10,3,197.6
2025,2,10,4,229.96
2025,2,10,5,253.89
2025,2,10,6,216.96
2025,2,10,7,183.89
2025,2,10,8,199.17
2025,2,10,9,191.42
2025,2,10,10,216.25
2025,2,10,11,213.28
2025,2,10,12,171.67
2025,2,10,13,259.07
2025,2,10,14,212.42
2025,2,10,15,227.85
2025,2,10,16,239.71
2025,2,10,17,259.07
2025,2,10,18,254.5
2025,2,10,19,264
2025,2,10,20,203.32
2025,2,10,21,209.78
2025,2,10,22,218.75
2025,2,10,23,252.07
2025,2,10,24,188.96
2025,2,11,1,202.35
2025,2,11,2,185.17
2025,2,11,3,197.6
2025,2,11,4,229.96
2025,2,11,5,253.89
2025,2,11,6,216.96
2025,2,11,7,183.89
2025,2,11,8,199.17
2025,2,11,9,191.42
2025,2,11,10,216.25
2025,2,11,11,213.28
2025,2,11,12,171.67
2025,2,11,13,259.07
2025,2,11,14,212.42
2025,2,11,15,227.85
2025,2,11,16,239.71
2025,2,11,17,259.07
2025,2,11,18,254.5
2025,2,11,19,264
2025,2,11,20,203.32
2025,2,11,21,209.78
2025,2,11,22,218.75
2025,2,11,23,252.07
2025,2,11,24,188.96
2025,2,12,1,202.35
2025,2,12,2,185.17
2025,2,12,3,197.6
2025,2,12,4,229.96
2025,2,12,5,253.89
2025,2,12,6,216.96
2025,2,12,7,183.89
2025,2,12,8,199.17
2025,2,12,9,191.42
2025,2,12,10,216.25
2025,2,12,11,213.28
2025,2,12,12,171.67
2025,2,12,13,259.07
2025,2,12,14,212.42
2025,2,12,15,227.85
2025,2,12,16,239.71
2025,2,12,17,259.07
2025,2,12,18,254.5
2025,2,12,19,264
2025,2,12,20,203.32
2025,2,12,21,209.78
2025,2,12,22,218.75
2025,2,12,23,252.07
2025,2,12,24,188.96
2025,2,13,1,202.35
2025,2,13,2,185.17
2025,2,13,3,197.6
2025,2,13,4,229.96
2025,2,13,5,253.89
2025,2,13,6,216.96
2025,2,13,7,183.89
2025,2,13,8,199.17
2025,2,13,9,191.42
2025,2,13,10,216.25
2025,2,13,11,213.28
2025,2,13,12,171.67
2025,2,13,13,259.07
2025,2,13,14,212.42
2025,2,13,15,227.85
2025,2,13,16,239.71
2025,2,13,17,259.07
2025,2,13,18,254.5
2025,2,13,19,264
2025,2,13,20,203.32
2025,2,13,21,209.78
2025,2,13,22,218.75
2025,2,13,23,252.07
2025,2,13,24,188.96
2025,2,14,1,202.35
2025,2,14,2,185.17
2025,2,14,3,197.6
2025,2,14,4,229.96
2025,2,14,5,253.89
2025,2,14,6,216.96
2025,2,14,7,183.89
2025,2,14,8,199.17
2025,2,14,9,191.42
2025,2,14,10,216.25
2025,2,14,11,213.28
2025,2,14,12,171.67
2025,2,14,13,259.07
2025,2,14,14,212.42
2025,2,14,15,227.85
2025,2,14,16,239.71
2025,2,14,17,259.07
2025,2,14,18,254.5
2025,2,14,19,264
2025,2,14,20,203.32
