 Year , Month , Day , Period ,Flex Up
2025,1,11,13,346.2
2025,1,11,14,337.2
2025,1,11,15,371.1
2025,1,11,16,337.04
2025,1,11,17,260.5
2025,1,11,18,176.08
2025,1,11,19,234.3
2025,1,11,20,217.37
2025,1,11,21,248.48
2025,1,11,22,280.67
2025,1,11,23,198.45
2025,1,11,24,194.55
2025,1,12,1,203.41
2025,1,12,2,222.27
2025,1,12,3,214.05
2025,1,12,4,207.08
2025,1,12,5,189.02
2025,1,12,6,226.22
2025,1,12,7,197.74
2025,1,12,8,294.28
2025,1,12,9,404.12
2025,1,12,10,364.5
2025,1,12,11,327.91
2025,1,12,12,260.89
2025,1,12,13,346.2
2025,1,12,14,337.2
2025,1,12,15,371.1
2025,1,12,16,337.04
2025,1,12,17,260.5
2025,1,12,18,176.08
2025,1,12,19,234.3
2025,1,12,20,217.37
2025,1,12,21,248.48
2025,1,12,22,280.67
2025,1,12,23,198.45
2025,1,12,24,194.55
2025,1,13,1,203.41
2025,1,13,2,222.27
2025,1,13,3,214.05
2025,1,13,4,207.08
2025,1,13,5,189.02
2025,1,13,6,226.22
2025,1,13,7,197.74
2025,1,13,8,294.28
2025,1,13,9,404.12
2025,1,13,10,364.5
2025,1,13,11,327.91
2025,1,13,12,260.89
2025,1,13,13,346.2
2025,1,13,14,337.2
2025,1,13,15,371.1
2025,1,13,16,337.04
2025,1,13,17,260.5
2025,1,13,18,176.08
2025,1,13,19,234.3
2025,1,13,20,217.37
2025,1,13,21,248.48
2025,1,13,22,280.67
2025,1,13,23,198.45
2025,1,13,24,194.55
2025,1,14,1,203.41
2025,1,14,2,222.27
2025,1,14,3,214.05
2025,1,14,4,207.08
2025,1,14,5,189.02
2025,1,14,6,226.22
2025,1,14,7,197.74
2025,1,14,8,294.28
2025,1,14,9,404.12
2025,1,14,10,364.5
2025,1,14,11,327.91
2025,1,14,12,260.89
2025,1,14,13,346.2
2025,1,14,14,337.2
2025,1,14,15,371.1
2025,1,14,16,337.04
2025,1,14,17,260.5
2025,1,14,18,176.08
2025,1,14,19,234.3
2025,1,14,20,217.37
2025,1,14,21,248.48
2025,1,14,22,280.67
2025,1,14,23,198.45
2025,1,14,24,194.55
2025,1,15,1,203.41
2025,1,15,2,222.27
2025,1,15,3,214.05
2025,1,15,4,207.08
2025,1,15,5,189.02
2025,1,15,6,226.22
2025,1,15,7,197.74
2025,1,15,8,294.28
2025,1,15,9,404.12
2025,1,15,10,364.5
2025,1,15,11,327.91
2025,1,15,12,260.89
2025,1,15,13,346.2
2025,1,15,14,337.2
2025,1,15,15,371.1
2025,1,15,16,337.04
2025,1,15,17,260.5
2025,1,15,18,176.08
2025,1,15,19,234.3
2025,1,15,20,217.37
2025,1,15,21,248.48
2025,1,15,22,280.67
2025,1,15,23,198.45
2025,1,15,24,194.55
2025,1,16,1,203.41
2025,1,16,2,222.27
2025,1,16,3,214.05
2025,1,16,4,207.08
2025,1,16,5,189.02
2025,1,16,6,226.22
2025,1,16,7,197.74
2025,1,16,8,294.28
2025,1,16,9,404.12
2025,1,16,10,364.5
2025,1,16,11,327.91
2025,1,16,12,260.89
2025,1,16,13,346.2
2025,1,16,14,337.2
2025,1,16,15,371.1
2025,1,16,16,337.04
2025,1,16,17,260.5
2025,1,16,18,176.08
2025,1,16,19,234.3
2025,1,16,20,217.37
2025,1,16,21,248.48
2025,1,16,22,280.67
2025,1,16,23,198.45
2025,1,16,24,194.55
2025,1,17,1,203.41
2025,1,17,2,222.27
2025,1,17,3,214.05
2025,1,17,4,207.08
2025,1,17,5,189.02
2025,1,17,6,226.22
2025,1,17,7,197.74
2025,1,17,8,294.28
2025,1,17,9,404.12
2025,1,17,10,364.5
2025,1,17,11,327.91
2025,1,17,12,260.89
2025,1,17,13,346.2
2025,1,17,14,337.2
2025,1,17,15,371.1
2025,1,17,16,337.04
2025,1,17,17,260.5
2025,1,17,18,176.08
2025,1,17,19,234.3
2025,1,17,20,217.37
2025,1,17,21,248.48
2025,1,17,22,280.67
2025,1,17,23,198.45
2025,1,17,24,194.55
2025,1,18,1,203.41
2025,1,18,2,222.27
2025,1,18,3,214.05
2025,1,18,4,207.08
2025,1,18,5,189.02
2025,1,18,6,226.22
2025,1,18,7,197.74
2025,1,18,8,294.28
2025,1,18,9,404.12
2025,1,18,10,364.5
2025,1,18,11,327.91
2025,1,18,12,260.89
2025,1,18,13,346.2
2025,1,18,14,337.2
2025,1,18,15,371.1
2025,1,18,16,337.04
2025,1,18,17,260.5
2025,1,18,18,176.08
2025,1,18,19,234.3
2025,1,18,20,217.37
2025,1,18,21,248.48
2025,1,18,22,280.67
2025,1,18,23,198.45
2025,1,18,24,194.55
2025,1,19,1,203.41
2025,1,19,2,222.27
2025,1,19,3,214.05
2025,1,19,4,207.08
2025,1,19,5,189.02
2025,1,19,6,226.22
2025,1,19,7,197.74
2025,1,19,8,294.28
2025,1,19,9,404.12
2025,1,19,10,364.5
2025,1,19,11,327.91
2025,1,19,12,260.89
2025,1,19,13,346.2
2025,1,19,14,337.2
2025,1,19,15,371.1
2025,1,19,16,337.04
2025,1,19,17,260.5
2025,1,19,18,176.08
2025,1,19,19,234.3
2025,1,19,20,217.37
2025,1,19,21,248.48
2025,1,19,22,280.67
2025,1,19,23,198.45
2025,1,19,24,194.55
2025,1,20,1,203.41
2025,1,20,2,222.27
2025,1,20,3,214.05
2025,1,20,4,207.08
2025,1,20,5,189.02
2025,1,20,6,226.22
2025,1,20,7,197.74
2025,1,20,8,294.28
2025,1,20,9,404.12
2025,1,20,10,364.5
2025,1,20,11,327.91
2025,1,20,12,260.89
2025,1,20,13,346.2
2025,1,20,14,337.2
2025,1,20,15,371.1
2025,1,20,16,337.04
2025,1,20,17,260.5
2025,1,20,18,176.08
2025,1,20,19,234.3
2025,1,20,20,217.37
2025,1,20,21,248.48
2025,1,20,22,280.67
2025,1,20,23,198.45
2025,1,20,24,194.55
2025,1,21,1,203.41
2025,1,21,2,222.27
2025,1,21,3,214.05
2025,1,21,4,207.08
2025,1,21,5,189.02
2025,1,21,6,226.22
2025,1,21,7,197.74
2025,1,21,8,294.28
2025,1,21,9,404.12
2025,1,21,10,364.5
2025,1,21,11,327.91
2025,1,21,12,260.89
2025,1,21,13,346.2
2025,1,21,14,337.2
2025,1,21,15,371.1
2025,1,21,16,337.04
2025,1,21,17,260.5
2025,1,21,18,176.08
2025,1,21,19,234.3
2025,1,21,20,217.37
2025,1,21,21,248.48
2025,1,21,22,280.67
2025,1,21,23,198.45
2025,1,21,24,194.55
2025,1,22,1,203.41
2025,1,22,2,222.27
2025,1,22,3,214.05
2025,1,22,4,207.08
2025,1,22,5,189.02
2025,1,22,6,226.22
2025,1,22,7,197.74
2025,1,22,8,294.28
2025,1,22,9,404.12
2025,1,22,10,364.5
2025,1,22,11,327.91
2025,1,22,12,260.89
2025,1,22,13,346.2
2025,1,22,14,337.2
2025,1,22,15,371.1
2025,1,22,16,337.04
2025,1,22,17,260.5
2025,1,22,18,176.08
2025,1,22,19,234.3
2025,1,22,20,217.37
2025,1,22,21,248.48
2025,1,22,22,280.67
2025,1,22,23,198.45
2025,1,22,24,194.55
2025,1,23,1,203.41
2025,1,23,2,222.27
2025,1,23,3,214.05
2025,1,23,4,207.08
2025,1,23,5,189.02
2025,1,23,6,226.22
2025,1,23,7,197.74
2025,1,23,8,294.28
2025,1,23,9,404.12
2025,1,23,10,364.5
2025,1,23,11,327.91
2025,1,23,12,260.89
2025,1,23,13,346.2
2025,1,23,14,337.2
2025,1,23,15,371.1
2025,1,23,16,337.04
2025,1,23,17,260.5
2025,1,23,18,176.08
2025,1,23,19,234.3
2025,1,23,20,217.37
2025,1,23,21,248.48
2025,1,23,22,280.67
2025,1,23,23,198.45
2025,1,23,24,194.55
2025,1,24,1,203.41
2025,1,24,2,222.27
2025,1,24,3,214.05
2025,1,24,4,207.08
2025,1,24,5,189.02
2025,1,24,6,226.22
2025,1,24,7,197.74
2025,1,24,8,294.28
2025,1,24,9,404.12
2025,1,24,10,364.5
2025,1,24,11,327.91
2025,1,24,12,260.89
2025,1,24,13,346.2
2025,1,24,14,337.2
2025,1,24,15,371.1
2025,1,24,16,337.04
2025,1,24,17,260.5
2025,1,24,18,176.08
2025,1,24,19,234.3
2025,1,24,20,217.37
2025,1,24,21,248.48
2025,1,24,22,280.67
2025,1,24,23,198.45
2025,1,24,24,194.55
2025,1,25,1,203.41
2025,1,25,2,222.27
2025,1,25,3,214.05
2025,1,25,4,207.08
2025,1,25,5,189.02
2025,1,25,6,226.22
2025,1,25,7,197.74
2025,1,25,8,294.28
2025,1,25,9,404.12
2025,1,25,10,364.5
2025,1,25,11,327.91
2025,1,25,12,260.89
2025,1,25,13,346.2
2025,1,25,14,337.2
2025,1,25,15,371.1
2025,1,25,16,337.04
2025,1,25,17,260.5
2025,1,25,18,176.08
2025,1,25,19,234.3
2025,1,25,20,217.37
2025,1,25,21,248.48
2025,1,25,22,280.67
2025,1,25,23,198.45
2025,1,25,24,194.55
2025,1,26,1,203.41
2025,1,26,2,222.27
2025,1,26,3,214.05
2025,1,26,4,207.08
2025,1,26,5,189.02
2025,1,26,6,226.22
2025,1,26,7,197.74
2025,1,26,8,294.28
2025,1,26,9,404.12
2025,1,26,10,364.5
2025,1,26,11,327.91
2025,1,26,12,260.89
2025,1,26,13,346.2
2025,1,26,14,337.2
2025,1,26,15,371.1
2025,1,26,16,337.04
2025,1,26,17,260.5
2025,1,26,18,176.08
2025,1,26,19,234.3
2025,1,26,20,217.37
2025,1,26,21,248.48
2025,1,26,22,280.67
2025,1,26,23,198.45
2025,1,26,24,194.55
2025,1,27,1,203.41
2025,1,27,2,222.27
2025,1,27,3,214.05
2025,1,27,4,207.08
2025,1,27,5,189.02
2025,1,27,6,226.22
2025,1,27,7,197.74
2025,1,27,8,294.28
2025,1,27,9,404.12
2025,1,27,10,364.5
2025,1,27,11,327.91
2025,1,27,12,260.89
2025,1,27,13,346.2
2025,1,27,14,337.2
2025,1,27,15,371.1
2025,1,27,16,337.04
2025,1,27,17,260.5
2025,1,27,18,176.08
2025,1,27,19,234.3
2025,1,27,20,217.37
2025,1,27,21,248.48
2025,1,27,22,280.67
2025,1,27,23,198.45
2025,1,27,24,194.55
2025,1,28,1,203.41
2025,1,28,2,222.27
2025,1,28,3,214.05
2025,1,28,4,207.08
2025,1,28,5,189.02
2025,1,28,6,226.22
2025,1,28,7,197.74
2025,1,28,8,294.28
2025,1,28,9,404.12
2025,1,28,10,364.5
2025,1,28,11,327.91
2025,1,28,12,260.89
2025,1,28,13,346.2
2025,1,28,14,337.2
2025,1,28,15,371.1
2025,1,28,16,337.04
2025,1,28,17,260.5
2025,1,28,18,176.08
2025,1,28,19,234.3
2025,1,28,20,217.37
2025,1,28,21,248.48
2025,1,28,22,280.67
2025,1,28,23,198.45
2025,1,28,24,194.55
2025,1,29,1,203.41
2025,1,29,2,222.27
2025,1,29,3,214.05
2025,1,29,4,207.08
2025,1,29,5,189.02
2025,1,29,6,226.22
2025,1,29,7,197.74
2025,1,29,8,294.28
2025,1,29,9,404.12
2025,1,29,10,364.5
2025,1,29,11,327.91
2025,1,29,12,260.89
2025,1,29,13,346.2
2025,1,29,14,337.2
2025,1,29,15,371.1
2025,1,29,16,337.04
2025,1,29,17,260.5
2025,1,29,18,176.08
2025,1,29,19,234.3
2025,1,29,20,217.37
2025,1,29,21,248.48
2025,1,29,22,280.67
2025,1,29,23,198.45
2025,1,29,24,194.55
2025,1,30,1,203.41
2025,1,30,2,222.27
2025,1,30,3,214.05
2025,1,30,4,207.08
2025,1,30,5,189.02
2025,1,30,6,226.22
2025,1,30,7,197.74
2025,1,30,8,294.28
2025,1,30,9,404.12
2025,1,30,10,364.5
2025,1,30,11,327.91
2025,1,30,12,260.89
2025,1,30,13,346.2
2025,1,30,14,337.2
2025,1,30,15,371.1
2025,1,30,16,337.04
2025,1,30,17,260.5
2025,1,30,18,176.08
2025,1,30,19,234.3
2025,1,30,20,217.37
2025,1,30,21,248.48
2025,1,30,22,280.67
2025,1,30,23,198.45
2025,1,30,24,194.55
2025,1,31,1,203.41
2025,1,31,2,222.27
2025,1,31,3,214.05
2025,1,31,4,207.08
2025,1,31,5,189.02
2025,1,31,6,226.22
2025,1,31,7,197.74
2025,1,31,8,294.28
2025,1,31,9,404.12
2025,1,31,10,364.5
2025,1,31,11,327.91
2025,1,31,12,260.89
2025,1,31,13,346.2
2025,1,31,14,337.2
2025,1,31,15,371.1
2025,1,31,16,337.04
2025,1,31,17,260.5
2025,1,31,18,176.08
2025,1,31,19,234.3
2025,1,31,20,217.37
2025,1,31,21,248.48
2025,1,31,22,280.67
2025,1,31,23,198.45
2025,1,31,24,194.55
2025,2,1,1,181.5
2025,2,1,2,199.8
2025,2,1,3,195.8
2025,2,1,4,187.07
2025,2,1,5,191.57
2025,2,1,6,212.71
2025,2,1,7,198.14
2025,2,1,8,301.89
2025,2,1,9,436.28
2025,2,1,10,374.57
2025,2,1,11,343.03
2025,2,1,12,267.07
2025,2,1,13,346.57
2025,2,1,14,334.53
2025,2,1,15,369.71
2025,2,1,16,331.1
2025,2,1,17,262.85
2025,2,1,18,191.5
2025,2,1,19,185.7
2025,2,1,20,248.1
2025,2,1,21,293.7
2025,2,1,22,281.78
2025,2,1,23,226.89
2025,2,1,24,182.96
2025,2,2,1,181.5
2025,2,2,2,199.8
2025,2,2,3,195.8
2025,2,2,4,187.07
2025,2,2,5,191.57
2025,2,2,6,212.71
2025,2,2,7,198.14
2025,2,2,8,301.89
2025,2,2,9,436.28
2025,2,2,10,374.57
2025,2,2,11,343.03
2025,2,2,12,267.07
2025,2,2,13,346.57
2025,2,2,14,334.53
2025,2,2,15,369.71
2025,2,2,16,331.1
2025,2,2,17,262.85
2025,2,2,18,191.5
2025,2,2,19,185.7
2025,2,2,20,248.1
2025,2,2,21,293.7
2025,2,2,22,281.78
2025,2,2,23,226.89
2025,2,2,24,182.96
2025,2,3,1,181.5
2025,2,3,2,199.8
2025,2,3,3,195.8
2025,2,3,4,187.07
2025,2,3,5,191.57
2025,2,3,6,212.71
2025,2,3,7,198.14
2025,2,3,8,301.89
2025,2,3,9,436.28
2025,2,3,10,374.57
2025,2,3,11,343.03
2025,2,3,12,267.07
2025,2,3,13,346.57
2025,2,3,14,334.53
2025,2,3,15,369.71
2025,2,3,16,331.1
2025,2,3,17,262.85
2025,2,3,18,191.5
2025,2,3,19,185.7
2025,2,3,20,248.1
2025,2,3,21,293.7
2025,2,3,22,281.78
2025,2,3,23,226.89
2025,2,3,24,182.96
2025,2,4,1,181.5
2025,2,4,2,199.8
2025,2,4,3,195.8
2025,2,4,4,187.07
2025,2,4,5,191.57
2025,2,4,6,212.71
2025,2,4,7,198.14
2025,2,4,8,301.89
2025,2,4,9,436.28
2025,2,4,10,374.57
2025,2,4,11,343.03
2025,2,4,12,267.07
2025,2,4,13,346.57
2025,2,4,14,334.53
2025,2,4,15,369.71
2025,2,4,16,331.1
2025,2,4,17,262.85
2025,2,4,18,191.5
2025,2,4,19,185.7
2025,2,4,20,248.1
2025,2,4,21,293.7
2025,2,4,22,281.78
2025,2,4,23,226.89
2025,2,4,24,182.96
2025,2,5,1,181.5
2025,2,5,2,199.8
2025,2,5,3,195.8
2025,2,5,4,187.07
2025,2,5,5,191.57
2025,2,5,6,212.71
2025,2,5,7,198.14
2025,2,5,8,301.89
2025,2,5,9,436.28
2025,2,5,10,374.57
2025,2,5,11,343.03
2025,2,5,12,267.07
2025,2,5,13,346.57
2025,2,5,14,334.53
2025,2,5,15,369.71
2025,2,5,16,331.1
2025,2,5,17,262.85
2025,2,5,18,191.5
2025,2,5,19,185.7
2025,2,5,20,248.1
2025,2,5,21,293.7
2025,2,5,22,281.78
2025,2,5,23,226.89
2025,2,5,24,182.96
2025,2,6,1,181.5
2025,2,6,2,199.8
2025,2,6,3,195.8
2025,2,6,4,187.07
2025,2,6,5,191.57
2025,2,6,6,212.71
2025,2,6,7,198.14
2025,2,6,8,301.89
2025,2,6,9,436.28
2025,2,6,10,374.57
2025,2,6,11,343.03
2025,2,6,12,267.07
2025,2,6,13,346.57
2025,2,6,14,334.53
2025,2,6,15,369.71
2025,2,6,16,331.1
2025,2,6,17,262.85
2025,2,6,18,191.5
2025,2,6,19,185.7
2025,2,6,20,248.1
2025,2,6,21,293.7
2025,2,6,22,281.78
2025,2,6,23,226.89
2025,2,6,24,182.96
2025,2,7,1,181.5
2025,2,7,2,199.8
2025,2,7,3,195.8
2025,2,7,4,187.07
2025,2,7,5,191.57
2025,2,7,6,212.71
2025,2,7,7,198.14
2025,2,7,8,301.89
2025,2,7,9,436.28
2025,2,7,10,374.57
2025,2,7,11,343.03
2025,2,7,12,267.07
2025,2,7,13,346.57
2025,2,7,14,334.53
2025,2,7,15,369.71
2025,2,7,16,331.1
2025,2,7,17,262.85
2025,2,7,18,191.5
2025,2,7,19,185.7
2025,2,7,20,248.1
2025,2,7,21,293.7
2025,2,7,22,281.78
2025,2,7,23,226.89
2025,2,7,24,182.96
2025,2,8,1,181.5
2025,2,8,2,199.8
2025,2,8,3,195.8
2025,2,8,4,187.07
2025,2,8,5,191.57
2025,2,8,6,212.71
2025,2,8,7,198.14
2025,2,8,8,301.89
2025,2,8,9,436.28
2025,2,8,10,374.57
2025,2,8,11,343.03
2025,2,8,12,267.07
2025,2,8,13,346.57
2025,2,8,14,334.53
2025,2,8,15,369.71
2025,2,8,16,331.1
2025,2,8,17,262.85
2025,2,8,18,191.5
2025,2,8,19,185.7
2025,2,8,20,248.1
2025,2,8,21,293.7
2025,2,8,22,281.78
2025,2,8,23,226.89
2025,2,8,24,182.96
2025,2,9,1,181.5
2025,2,9,2,199.8
2025,2,9,3,195.8
2025,2,9,4,187.07
2025,2,9,5,191.57
2025,2,9,6,212.71
2025,2,9,7,198.14
2025,2,9,8,301.89
2025,2,9,9,436.28
2025,2,9,10,374.57
2025,2,9,11,343.03
2025,2,9,12,267.07
2025,2,9,13,346.57
2025,2,9,14,334.53
2025,2,9,15,369.71
2025,2,9,16,331.1
2025,2,9,17,262.85
2025,2,9,18,191.5
2025,2,9,19,185.7
2025,2,9,20,248.1
2025,2,9,21,293.7
2025,2,9,22,281.78
2025,2,9,23,226.89
2025,2,9,24,182.96
2025,2,10,1,181.5
2025,2,10,2,199.8
2025,2,10,3,195.8
2025,2,10,4,187.07
2025,2,10,5,191.57
2025,2,10,6,212.71
2025,2,10,7,198.14
2025,2,10,8,301.89
2025,2,10,9,436.28
2025,2,10,10,374.57
2025,2,10,11,343.03
2025,2,10,12,267.07
2025,2,10,13,346.57
2025,2,10,14,334.53
2025,2,10,15,369.71
2025,2,10,16,331.1
2025,2,10,17,262.85
2025,2,10,18,191.5
2025,2,10,19,185.7
2025,2,10,20,248.1
2025,2,10,21,293.7
2025,2,10,22,281.78
2025,2,10,23,226.89
2025,2,10,24,182.96
2025,2,11,1,181.5
2025,2,11,2,199.8
2025,2,11,3,195.8
2025,2,11,4,187.07
2025,2,11,5,191.57
2025,2,11,6,212.71
2025,2,11,7,198.14
2025,2,11,8,301.89
2025,2,11,9,436.28
2025,2,11,10,374.57
2025,2,11,11,343.03
2025,2,11,12,267.07
2025,2,11,13,346.57
2025,2,11,14,334.53
2025,2,11,15,369.71
2025,2,11,16,331.1
2025,2,11,17,262.85
2025,2,11,18,191.5
2025,2,11,19,185.7
2025,2,11,20,248.1
2025,2,11,21,293.7
2025,2,11,22,281.78
2025,2,11,23,226.89
2025,2,11,24,182.96
2025,2,12,1,181.5
2025,2,12,2,199.8
2025,2,12,3,195.8
2025,2,12,4,187.07
2025,2,12,5,191.57
2025,2,12,6,212.71
2025,2,12,7,198.14
2025,2,12,8,301.89
2025,2,12,9,436.28
2025,2,12,10,374.57
2025,2,12,11,343.03
2025,2,12,12,267.07
2025,2,12,13,346.57
2025,2,12,14,334.53
2025,2,12,15,369.71
2025,2,12,16,331.1
2025,2,12,17,262.85
2025,2,12,18,191.5
2025,2,12,19,185.7
2025,2,12,20,248.1
2025,2,12,21,293.7
2025,2,12,22,281.78
2025,2,12,23,226.89
2025,2,12,24,182.96
2025,2,13,1,181.5
2025,2,13,2,199.8
2025,2,13,3,195.8
2025,2,13,4,187.07
2025,2,13,5,191.57
2025,2,13,6,212.71
2025,2,13,7,198.14
2025,2,13,8,301.89
2025,2,13,9,436.28
2025,2,13,10,374.57
2025,2,13,11,343.03
2025,2,13,12,267.07
2025,2,13,13,346.57
2025,2,13,14,334.53
2025,2,13,15,369.71
2025,2,13,16,331.1
2025,2,13,17,262.85
2025,2,13,18,191.5
2025,2,13,19,185.7
2025,2,13,20,248.1
2025,2,13,21,293.7
2025,2,13,22,281.78
2025,2,13,23,226.89
2025,2,13,24,182.96
2025,2,14,1,181.5
2025,2,14,2,199.8
2025,2,14,3,195.8
2025,2,14,4,187.07
2025,2,14,5,191.57
2025,2,14,6,212.71
2025,2,14,7,198.14
2025,2,14,8,301.89
2025,2,14,9,436.28
2025,2,14,10,374.57
2025,2,14,11,343.03
2025,2,14,12,267.07
2025,2,14,13,346.57
2025,2,14,14,334.53
2025,2,14,15,369.71
2025,2,14,16,331.1
2025,2,14,17,262.85
